true_class,bridge,freeway,overpass,railway
bridge,0.01703628882031949,,0.021946094323009202,0.030095542691284394
freeway,,0.011867469878811376,0.1832815969254199,0.26953282437846215
overpass,0.8927188444000289,0.9276098031182264,,0.5169486652710698
railway,0.6939270379702076,0.8247748318692734,0.38076760013755717,0.35850435664166214
