true_class,bridge,freeway,overpass,railway
bridge,0.4342651056276741,,0.4321926651433532,0.3653093956281151
freeway,,0.4340502176769315,0.3150285029253641,0.2528335775310196
overpass,0.0283865989435659,0.0205782024655572,,0.2184567529850989
railway,0.1057589701889554,0.0613386646332832,0.2814424570089491,0.2876870078035808
