true_class,bridge,freeway,overpass,railway
bridge,,0.022928876097207,0.1589376551805458,
freeway,0.0438502164403082,,0.0331184655825448,0.0180247058475549
overpass,0.0316512041496891,0.0226530210311215,,0.0262151786417353
railway,0.0673990596405112,0.0278292668005103,0.0210151700821397,
