true_class,bridge,freeway,overpass,railway
bridge,,0.1684301547225387,0.3376243582258749,0.2144387693994803
freeway,0.2068112329804945,,0.176277253279542,0.197024743396719
overpass,0.2625034895824797,0.3222853054551404,,0.2702307441457115
railway,0.2915436132262358,0.2355301922216086,0.2159351999073051,0.3326504096479377
