true_class,bridge,freeway,overpass,railway
bridge,,0.4975228079074387,0.0,0.363422501118754
freeway,0.3984893460298825,,0.40198406946463505,0.3703687495508988
overpass,0.27461043145722386,0.1923015471760406,,0.2530662805116504
railway,0.11742852635732065,0.28789497179012496,0.29111299541430874,0.049102661623075694
