true_class,bridge,freeway,overpass,railway
bridge,,0.9136728327507655,0.5998992325493135,
freeway,0.8666547463941634,,0.8767501722699231,0.9336863991320671
overpass,0.9009548898670965,0.9245247240996707,,0.9047341789786403
railway,0.8102103696911447,0.8936286970010174,0.9213902535200739,
