,precision,recall,f1-score,support
bridge,1.0,0.31,0.4732824427480916,100.0
freeway,0.8688524590163934,0.53,0.6583850931677019,100.0
overpass,0.5079365079365079,0.96,0.6643598615916955,100.0
railway,0.8235294117647058,0.98,0.8949771689497716,100.0
accuracy,0.695,0.695,0.695,0.695
macro avg,0.8000795946794017,0.6950000000000001,0.6727511416143152,400.0
weighted avg,0.8000795946794017,0.695,0.6727511416143152,400.0
