epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.239388749258859,0.8439285714285715,1.1276606559753417,0.88
2,0.9759640427998134,0.9803571428571428,0.9204446506500245,0.895
3,0.7725689513342721,0.9857142857142858,0.7619342231750488,0.9275
4,0.6204635150091988,0.9892857142857143,0.6423965394496918,0.9425
5,0.5078881806986673,0.99,0.550290058851242,0.955
6,0.42393117564065114,0.9910714285714286,0.48297131538391114,0.955
7,0.3601225100244795,0.9917857142857143,0.42716044664382935,0.965
8,0.31094174206256864,0.9928571428571429,0.38528365790843966,0.965
9,0.2723059801544462,0.9928571428571429,0.3498498868942261,0.965
10,0.24123165147645134,0.9932142857142857,0.3208691436052322,0.9675
