epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.8919698660714286,0.9642857142857143,0.735172119140625,0.9925
2,0.6416556222098214,0.9896428571428572,0.55795166015625,0.9875
3,0.47424203055245534,0.9953571428571428,0.4364630126953125,0.975
4,0.36631792340959823,0.9910714285714286,0.3516650390625,0.9725
5,0.29242034912109377,0.9875,0.33801116943359377,0.95
6,0.225654296875,0.9917857142857143,0.22682830810546875,0.98
7,0.17115269252232143,0.9975,0.18483856201171875,0.9825
8,0.14908990042550224,0.9932142857142857,0.1306298828125,0.9975
9,0.11805086408342634,0.9967857142857143,0.13613662719726563,0.985
10,0.09261487688337054,0.9996428571428572,0.16244369506835937,0.9675
