epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.268443124634879,0.7621428571428571,1.1632405710220337,0.965
2,1.0535545873641967,0.9585714285714285,0.9785766863822937,0.9625
3,0.8838824963569641,0.9567857142857142,0.8327632093429566,0.9775
4,0.7509570646286011,0.9642857142857143,0.7183826828002929,0.975
5,0.6425498683112009,0.965,0.6231269550323486,0.98
6,0.5575162931850979,0.965,0.5476944589614868,0.98
7,0.49137469530105593,0.9714285714285714,0.49006574988365176,0.9775
8,0.437658269405365,0.97,0.4384675896167755,0.98
9,0.39776367562157766,0.9675,0.4016652321815491,0.98
10,0.36398564406803674,0.9689285714285715,0.3650734496116638,0.98
