variant,accuracy,macro_precision,macro_recall,macro_f1,samples
torch_fp32,0.9625,0.964229101611177,0.9625,0.9625350030942654,400
onnx_fp32,0.9625,0.964229101611177,0.9625,0.9625350030942654,400
onnx_int8_qdq,0.9625,0.9642504171479913,0.9625,0.9624732026930534,400
