run_id,checkpoint_name,variant,mode,artifact_kind,artifact_path,source_checkpoint_path,mask_source,manifest_path,calibration_split,calibration_batches,calibration_images,eval_split,weight_bits,activation_bits,awq_enabled,wrapped_count,model_config,emulation_note
semantic_guided_bf16_qat_best_recipe_20260615,fft,fft_fp32,fp32,raw_checkpoint_copy,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_checkpoint_exports_semantic_guided_bf16_qat_best_recipe_20260615/raw/fft_raw.pt,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_fft_semantic_guided_bf16_qat_best_recipe_20260615/best_miou.pt,sam3_class_aware,/home/lucas/CSC3109_Project_qat/reports/tables/semantic_sam3_class_aware_mask_manifest.csv,,,,internal_tune,,,False,0,"{""backbone_name"": ""convnext_tiny.in12k_ft_in1k"", ""checkpoint_architecture"": ""semantic_guided_cgaf"", ""checkpoint_epoch"": 10, ""fpn_channels"": 128, ""mask_source"": ""sam3_class_aware"", ""num_scene_classes"": 4, ""num_segmentation_classes"": 5, ""scene_class_names"": [""bridge"", ""freeway"", ""overpass"", ""railway""], ""scene_dropout"": 0.1, ""scene_hidden_dim"": 256, ""segmentation_classes"": [""background"", ""bridge"", ""freeway"", ""overpass"", ""railway""], ""shallow_channels"": null}",FP32 baseline; no emulated quantized-weight wrappers are inserted.
semantic_guided_bf16_qat_best_recipe_20260615,fft,fft_awq_w8a8,awq_w8a8,emulated_quant_checkpoint,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_checkpoint_exports_semantic_guided_bf16_qat_best_recipe_20260615/awq_w8a8/fft_awq_w8a8.pt,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_fft_semantic_guided_bf16_qat_best_recipe_20260615/best_miou.pt,sam3_class_aware,/home/lucas/CSC3109_Project_qat/reports/tables/semantic_sam3_class_aware_mask_manifest.csv,train,32,256,internal_tune,8,8,True,75,"{""backbone_name"": ""convnext_tiny.in12k_ft_in1k"", ""checkpoint_architecture"": ""semantic_guided_cgaf"", ""checkpoint_epoch"": 10, ""fpn_channels"": 128, ""mask_source"": ""sam3_class_aware"", ""num_scene_classes"": 4, ""num_segmentation_classes"": 5, ""scene_class_names"": [""bridge"", ""freeway"", ""overpass"", ""railway""], ""scene_dropout"": 0.1, ""scene_hidden_dim"": 256, ""segmentation_classes"": [""background"", ""bridge"", ""freeway"", ""overpass"", ""railway""], ""shallow_channels"": null}",Numerical emulation only: Conv2d/Linear weights are quantized to integer buffers and dequantized for PyTorch floating-point compute; activations use calibrated quantize/dequantize.
semantic_guided_bf16_qat_best_recipe_20260615,peft,peft_fp32,fp32,raw_checkpoint_copy,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_checkpoint_exports_semantic_guided_bf16_qat_best_recipe_20260615/raw/peft_raw.pt,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_peft_semantic_guided_bf16_qat_best_recipe_20260615/best_macro_f1.pt,sam3_class_aware,/home/lucas/CSC3109_Project_qat/reports/tables/semantic_sam3_class_aware_mask_manifest.csv,,,,internal_tune,,,False,0,"{""backbone_name"": ""convnext_tiny.in12k_ft_in1k"", ""checkpoint_architecture"": ""semantic_guided_cgaf"", ""checkpoint_epoch"": 3, ""fpn_channels"": 128, ""mask_source"": ""sam3_class_aware"", ""num_scene_classes"": 4, ""num_segmentation_classes"": 5, ""scene_class_names"": [""bridge"", ""freeway"", ""overpass"", ""railway""], ""scene_dropout"": 0.1, ""scene_hidden_dim"": 256, ""segmentation_classes"": [""background"", ""bridge"", ""freeway"", ""overpass"", ""railway""], ""shallow_channels"": null}",FP32 baseline; no emulated quantized-weight wrappers are inserted.
semantic_guided_bf16_qat_best_recipe_20260615,peft,peft_awq_w8a8,awq_w8a8,emulated_quant_checkpoint,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_checkpoint_exports_semantic_guided_bf16_qat_best_recipe_20260615/awq_w8a8/peft_awq_w8a8.pt,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_peft_semantic_guided_bf16_qat_best_recipe_20260615/best_macro_f1.pt,sam3_class_aware,/home/lucas/CSC3109_Project_qat/reports/tables/semantic_sam3_class_aware_mask_manifest.csv,train,32,256,internal_tune,8,8,True,75,"{""backbone_name"": ""convnext_tiny.in12k_ft_in1k"", ""checkpoint_architecture"": ""semantic_guided_cgaf"", ""checkpoint_epoch"": 3, ""fpn_channels"": 128, ""mask_source"": ""sam3_class_aware"", ""num_scene_classes"": 4, ""num_segmentation_classes"": 5, ""scene_class_names"": [""bridge"", ""freeway"", ""overpass"", ""railway""], ""scene_dropout"": 0.1, ""scene_hidden_dim"": 256, ""segmentation_classes"": [""background"", ""bridge"", ""freeway"", ""overpass"", ""railway""], ""shallow_channels"": null}",Numerical emulation only: Conv2d/Linear weights are quantized to integer buffers and dequantized for PyTorch floating-point compute; activations use calibrated quantize/dequantize.
