epoch,lr,train_loss,train_accuracy,tune_loss,tune_accuracy,tune_macro_precision,tune_macro_recall,tune_macro_f1
1,0.0001,0.6378680661320686,0.8852678571428572,0.38017989226749965,0.9982142857142857,0.99822695035461,0.9982142857142857,0.9982142629370272
2,9.938441702975689e-05,0.37475856095552446,0.9977678571428571,0.36576124514852254,1.0,1.0,1.0,1.0
3,9.755282581475769e-05,0.36419829364333833,0.9986607142857142,0.35982889022145953,1.0,1.0,1.0,1.0
4,9.45503262094184e-05,0.3584622498069491,0.9986607142857142,0.35520095569746835,1.0,1.0,1.0,1.0
5,9.045084971874738e-05,0.3552887024624007,0.9995535714285714,0.3532699712685176,1.0,1.0,1.0,1.0
6,8.535533905932738e-05,0.353812512755394,1.0,0.35279894982065474,1.0,1.0,1.0,1.0
7,7.938926261462366e-05,0.35307584639106476,1.0,0.3515933760574886,1.0,1.0,1.0,1.0
