run,output_dir,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
CLIP PEFT Augmented,reports/clip_peft_augmented,0.98,0.9814814814814815,0.98,0.9801928250420713,0.9814814814814815,0.98,0.9801928250420713
CLIP FFT Augmented,reports/clip_fft_augmented,0.9675,0.9696490603010599,0.9675,0.9673936670306906,0.9696490603010599,0.9675,0.9673936670306906
