run,family,method,runtime,model_name,accuracy,macro_precision,macro_recall,macro_f1,errors,samples_evaluated,tune_accuracy,tune_macro_f1,best_epoch,total_parameters,trainable_parameters,trainable_percent,onnx_size_bytes,average_batch_latency_seconds,metrics_path,run_dir
DINOv2 ViT-S/14 linear probe,dinov2,legacy_linear_probe,torch_fp32,,0.985,0.9854368932038835,0.985,0.9849966242404541,6,,,,,,,,,,reports/vit_small_patch14_dinov2_lvd142m_linear_probe_eval/metrics.json,model/vit_small_patch14_dinov2_lvd142m_linear_probe
DINOv2 ViT-S/14 full fine-tune,dinov2,legacy_full_finetune,torch_fp32,,0.9975,0.9975247524752475,0.9975,0.9974999374984375,1,,,,,,,,,,reports/vit_small_patch14_dinov2_lvd142m_eval/metrics.json,model/vit_small_patch14_dinov2_lvd142m_finetune
Swin-Tiny full fine-tune,swin,legacy_full_finetune,torch_fp32,,1.0,1.0,1.0,1.0,0,,,,,,,,,,reports/swin_tiny_eval/metrics.json,model/swin_tiny
DINOv2 ViT-S/14 LoRA,dinov2,peft_lora,torch_peft_adapter,vit_small_patch14_dinov2.lvd142m,0.995,0.9950980392156863,0.995,0.9950121896611772,2,400,1.0,1.0,3,22221704,591364,2.66120005918538,,,reports/vit_small_patch14_dinov2_lvd142m_lora_eval/metrics.json,model/swin_and_dino/dino/vit_small_patch14_dinov2_lvd142m_lora
DINOv2 ViT-S/14 LoRA ONNX,dinov2,peft_lora,onnxruntime_fp32,vit_small_patch14_dinov2.lvd142m,0.995,0.9950980392156863,0.995,0.9950121896611772,2,400,1.0,1.0,3,22221704,591364,2.66120005918538,87609868,0.6136261181673035,reports/onnx/vit_small_patch14_dinov2_lvd142m_lora/eval/metrics.json,model/swin_and_dino/dino/vit_small_patch14_dinov2_lvd142m_lora
Swin-Tiny LoRA,swin,peft_lora,torch_peft_adapter,swin_tiny_patch4_window7_224,0.99,0.9903846153846154,0.99,0.9900346512096664,4,400,1.0,1.0,2,28090754,568324,2.023171040549499,,,reports/swin_tiny_lora_eval/metrics.json,model/swin_and_dino/swin/swin_tiny_lora
Swin-Tiny LoRA ONNX,swin,peft_lora,onnxruntime_fp32,swin_tiny_patch4_window7_224,0.99,0.9903846153846154,0.99,0.9900346512096664,4,400,1.0,1.0,2,28090754,568324,2.023171040549499,113949899,0.597441965250861,reports/onnx/swin_tiny_lora/eval/metrics.json,model/swin_and_dino/swin/swin_tiny_lora
