epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.2694002859933036,0.7917857142857143,1.166978759765625,0.89
2,1.0533993094308036,0.9464285714285714,0.9792578125,0.9775
3,0.8800612095424107,0.9521428571428572,0.8308837890625,0.9825
4,0.7435875592912946,0.9614285714285714,0.7107794189453125,0.98
5,0.6353751918247768,0.9646428571428571,0.6180596923828126,0.9775
6,0.5519956316266741,0.9675,0.5480728149414062,0.975
7,0.48415152413504464,0.965,0.4847418212890625,0.9775
8,0.43198673793247766,0.9660714285714286,0.434639892578125,0.98
9,0.39002262660435266,0.9685714285714285,0.3899632263183594,0.98
10,0.3536727578299386,0.9696428571428571,0.35832366943359373,0.98
