,precision,recall,f1-score,support
bridge,1.0,0.98,0.98989898989899,100.0
freeway,1.0,0.95,0.9743589743589743,100.0
overpass,0.9259259259259259,1.0,0.9615384615384616,100.0
railway,1.0,0.99,0.9949748743718593,100.0
accuracy,0.98,0.98,0.98,0.98
macro avg,0.9814814814814815,0.98,0.9801928250420713,400.0
weighted avg,0.9814814814814815,0.98,0.9801928250420713,400.0
